Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Malignant neoplasms,Alzheimer disease,Chronic lower respiratory diseases,Diseases of heart,Cerebrovascular diseases,COVID-19_Multiple Cause of Death,Year,Week,Days_Since_Last_Week,Total_Deaths,Malignancy_Mortality_Rate,Heart_Disease_Mortality_Rate,Natural_Cause_Prop,Month,Season,Seasonal Pattern
27/09/2023,Indiana,2021,26,2021-07-03,1297,1164,256,37,82,258,70,32,2021,26,7.0,3196,8.010012515644556,8.07259073842303,0.3642052565707134,7,3,Summer
27/09/2023,Indiana,2021,27,2021-07-10,1338,1191,262,40,79,281,58,38,2021,27,7.0,3287,7.970794037115911,8.548828719196836,0.36233647703072713,7,3,Summer
27/09/2023,Indiana,2021,28,2021-07-17,1296,1164,265,43,74,257,78,32,2021,28,7.0,3209,8.258024306637582,8.008725459644749,0.3627298223745715,7,3,Summer
27/09/2023,Indiana,2021,29,2021-07-24,1258,1111,243,38,69,267,63,31,2021,29,7.0,3080,7.8896103896103895,8.668831168831169,0.3607142857142857,7,3,Summer
27/09/2023,Indiana,2021,30,2021-07-31,1349,1198,284,49,73,283,53,51,2021,30,7.0,3340,8.502994011976048,8.47305389221557,0.3586826347305389,7,3,Summer
27/09/2023,Indiana,2021,31,2021-08-07,1359,1206,251,43,78,292,54,77,2021,31,7.0,3360,7.470238095238095,8.69047619047619,0.35892857142857143,8,3,Summer
27/09/2023,Indiana,2021,32,2021-08-14,1440,1300,260,39,96,280,60,109,2021,32,7.0,3584,7.2544642857142865,7.8125,0.3627232142857143,8,3,Summer
27/09/2023,Indiana,2021,33,2021-08-21,1497,1361,287,41,92,281,67,167,2021,33,7.0,3793,7.5665699973635645,7.408383865014501,0.3588188768784603,8,3,Summer
27/09/2023,Indiana,2021,34,2021-08-28,1547,1392,271,40,85,314,56,204,2021,34,7.0,3909,6.932719365566641,8.032744947556921,0.3561013046815042,8,3,Summer
27/09/2023,Indiana,2021,35,2021-09-04,1545,1387,285,47,85,271,65,227,2021,35,7.0,3912,7.285276073619632,6.9274028629856845,0.35455010224948874,9,4,Autumn
27/09/2023,Indiana,2021,36,2021-09-11,1680,1516,272,45,84,289,71,312,2021,36,7.0,4269,6.371515577418599,6.769735301007261,0.3551182946825955,9,4,Autumn
27/09/2023,Indiana,2021,37,2021-09-18,1705,1545,280,51,103,303,74,327,2021,37,7.0,4388,6.381039197812215,6.905195989061077,0.35209662716499546,9,4,Autumn
27/09/2023,Indiana,2021,38,2021-09-25,1731,1563,277,59,81,292,71,335,2021,38,7.0,4409,6.282603765026083,6.622816965298253,0.35450215468360174,9,4,Autumn
27/09/2023,Indiana,2021,39,2021-10-02,1696,1526,257,34,82,298,74,303,2021,39,7.0,4270,6.018735362997658,6.978922716627635,0.35737704918032787,10,4,Autumn
27/09/2023,Indiana,2021,40,2021-10-09,1627,1505,293,36,96,311,52,276,2021,40,7.0,4196,6.982840800762631,7.4118207816968535,0.3586749285033365,10,4,Autumn
27/09/2023,Indiana,2021,41,2021-10-16,1607,1472,276,40,86,309,65,248,2021,41,7.0,4103,6.7267852790641,7.531074823300024,0.3587618815500853,10,4,Autumn
27/09/2023,Indiana,2021,42,2021-10-23,1567,1438,269,48,93,294,73,225,2021,42,7.0,4007,6.713251809333666,7.337159970052408,0.35887197404542054,10,4,Autumn
27/09/2023,Indiana,2021,43,2021-10-30,1631,1493,296,53,77,306,85,192,2021,43,7.0,4133,7.161867892571981,7.403822888942657,0.36123880958141785,10,4,Autumn
27/09/2023,Indiana,2021,44,2021-11-06,1603,1442,279,56,90,294,69,203,2021,44,7.0,4036,6.912784935579781,7.284440039643211,0.3572844400396432,11,4,Autumn
27/09/2023,Indiana,2021,45,2021-11-13,1619,1469,251,49,85,342,68,197,2021,45,7.0,4080,6.151960784313725,8.38235294117647,0.36004901960784313,11,4,Autumn
27/09/2023,Indiana,2021,46,2021-11-20,1652,1495,280,39,103,339,62,201,2021,46,7.0,4171,6.713018460800766,8.127547350755213,0.3584272356748981,11,4,Autumn
27/09/2023,Indiana,2021,47,2021-11-27,1697,1544,246,48,93,327,74,244,2021,47,7.0,4273,5.757079335361573,7.652703018956236,0.3613386379592792,11,4,Autumn
27/09/2023,Indiana,2021,48,2021-12-04,1696,1550,279,38,91,314,53,301,2021,48,7.0,4322,6.455344747801943,7.265155020823692,0.35863026376677465,12,1,Winter
27/09/2023,Indiana,2021,49,2021-12-11,1849,1713,289,46,93,358,90,400,2021,49,7.0,4838,5.9735427862753205,7.399751963621331,0.35407193054981395,12,1,Winter
27/09/2023,Indiana,2021,50,2021-12-18,1876,1755,265,61,105,333,69,432,2021,50,7.0,4896,5.412581699346405,6.8014705882352935,0.3584558823529412,12,1,Winter
27/09/2023,Indiana,2021,51,2021-12-25,1880,1734,260,42,110,333,72,471,2021,51,7.0,4902,5.303957568339453,6.7931456548347615,0.3537331701346389,12,1,Winter
27/09/2023,Indiana,2021,52,2022-01-01,1830,1713,256,51,84,310,62,485,2022,52,7.0,4791,5.343352118555625,6.470465456063453,0.3575453976205385,1,1,Winter
27/09/2023,Indiana,2022,1,2022-01-08,1917,1757,250,44,110,349,59,473,2022,1,7.0,4959,5.04133897963299,7.037709215567654,0.35430530348860656,1,1,Winter
27/09/2023,Indiana,2022,2,2022-01-15,2122,1985,306,71,96,356,80,584,2022,2,7.0,5600,5.464285714285714,6.357142857142857,0.35446428571428573,1,1,Winter
27/09/2023,Indiana,2022,3,2022-01-22,1989,1866,279,43,103,329,99,561,2022,3,7.0,5269,5.295122414120327,6.244069083317518,0.3541468969443917,1,1,Winter
27/09/2023,Indiana,2022,4,2022-01-29,1956,1821,271,54,97,330,79,511,2022,4,7.0,5119,5.294002734909162,6.446571596014847,0.3557335417073647,1,1,Winter
27/09/2023,Indiana,2022,5,2022-02-05,1841,1702,262,53,92,351,64,414,2022,5,7.0,4779,5.482318476668759,7.344632768361582,0.35614145218664994,2,1,Winter
27/09/2023,Indiana,2022,6,2022-02-12,1740,1599,257,47,92,321,69,349,2022,6,7.0,4474,5.744300402324542,7.174787662047385,0.35739830129637906,2,1,Winter
27/09/2023,Indiana,2022,7,2022-02-19,1645,1507,275,50,88,287,74,307,2022,7,7.0,4233,6.496574533427829,6.780061422159226,0.356012284431845,2,1,Winter
27/09/2023,Indiana,2022,8,2022-02-26,1604,1449,275,31,80,328,85,191,2022,8,7.0,4043,6.801879792233489,8.112787534009398,0.35839722977986643,2,1,Winter
27/09/2023,Indiana,2022,9,2022-03-05,1476,1325,248,54,72,313,75,139,2022,9,7.0,3702,6.699081577525662,8.454889249054565,0.357914640734738,3,2,Spring
27/09/2023,Indiana,2022,10,2022-03-12,1377,1255,282,39,69,295,61,120,2022,10,7.0,3498,8.061749571183533,8.433390508862207,0.35877644368210404,3,2,Spring
27/09/2023,Indiana,2022,11,2022-03-19,1383,1234,249,52,88,286,64,65,2022,11,7.0,3421,7.278573516515639,8.360128617363344,0.36071324174218067,3,2,Spring
27/09/2023,Indiana,2022,12,2022-03-26,1307,1193,241,33,91,263,74,70,2022,12,7.0,3272,7.365525672371638,8.037897310513447,0.3646088019559902,3,2,Spring
27/09/2023,Indiana,2022,13,2022-04-02,1402,1277,268,32,95,300,81,47,2022,13,7.0,3502,7.652769845802398,8.566533409480297,0.3646487721302113,4,2,Spring
27/09/2023,Indiana,2022,14,2022-04-09,1272,1155,250,50,84,254,70,29,2022,14,7.0,3164,7.9013906447534765,8.027812895069532,0.36504424778761063,4,2,Spring
27/09/2023,Indiana,2022,15,2022-04-16,1318,1183,243,52,78,290,66,31,2022,15,7.0,3261,7.451701931922723,8.892977614228764,0.3627721557804354,4,2,Spring
27/09/2023,Indiana,2022,16,2022-04-23,1329,1205,245,41,79,281,69,36,2022,16,7.0,3285,7.4581430745814306,8.554033485540335,0.3668188736681887,4,2,Spring
27/09/2023,Indiana,2022,17,2022-04-30,1297,1168,251,31,72,291,50,32,2022,17,7.0,3192,7.863408521303258,9.11654135338346,0.3659147869674185,4,2,Spring
27/09/2023,Indiana,2022,18,2022-05-07,1330,1191,263,36,94,279,57,22,2022,18,7.0,3272,8.037897310513447,8.526894865525673,0.3639975550122249,5,2,Spring
27/09/2023,Indiana,2022,19,2022-05-14,1268,1155,239,43,81,287,57,34,2022,19,7.0,3164,7.553729456384324,9.070796460176991,0.36504424778761063,5,2,Spring
27/09/2023,Indiana,2022,20,2022-05-21,1293,1162,242,34,91,287,67,41,2022,20,7.0,3217,7.522536524712466,8.921355299968916,0.3612060926328878,5,2,Spring
27/09/2023,Indiana,2022,21,2022-05-28,1279,1153,256,42,89,276,63,32,2022,21,7.0,3190,8.025078369905957,8.652037617554859,0.3614420062695925,5,2,Spring
27/09/2023,Indiana,2022,22,2022-06-04,1292,1157,241,46,79,264,48,39,2022,22,7.0,3166,7.612128869235628,8.33859759949463,0.3654453569172457,6,3,Summer
27/09/2023,Indiana,2022,23,2022-06-11,1287,1160,250,41,86,271,58,38,2022,23,7.0,3191,7.834534628643058,8.492635537449075,0.3635224067690379,6,3,Summer
27/09/2023,Indiana,2022,24,2022-06-18,1268,1140,224,28,94,271,47,42,2022,24,7.0,3114,7.193320488118175,8.702633269107258,0.36608863198458574,6,3,Summer
27/09/2023,Indiana,2022,25,2022-06-25,1386,1241,263,41,86,260,67,44,2022,25,7.0,3388,7.762691853600945,7.674144037780402,0.3662927981109799,6,3,Summer
27/09/2023,Indiana,2022,26,2022-07-02,1322,1189,263,32,80,271,68,53,2022,26,7.0,3278,8.023184868822453,8.267236119585112,0.3627211714460037,7,3,Summer
27/09/2023,Indiana,2022,27,2022-07-09,1339,1199,258,44,89,306,48,37,2022,27,7.0,3320,7.771084337349397,9.216867469879517,0.36114457831325303,7,3,Summer
27/09/2023,Indiana,2022,28,2022-07-16,1420,1261,264,51,81,290,71,54,2022,28,7.0,3492,7.560137457044673,8.304696449026345,0.3611111111111111,7,3,Summer
27/09/2023,Indiana,2022,29,2022-07-23,1360,1216,257,46,74,279,64,67,2022,29,7.0,3363,7.641986321736545,8.296164139161464,0.3615819209039548,7,3,Summer
27/09/2023,Indiana,2022,30,2022-07-30,1355,1195,266,48,63,286,53,71,2022,30,7.0,3337,7.971231645190291,8.570572370392568,0.3581060833083608,7,3,Summer
27/09/2023,Indiana,2022,31,2022-08-06,1399,1252,276,35,88,297,68,76,2022,31,7.0,3491,7.906044113434546,8.507590948152393,0.3586364938413062,8,3,Summer
27/09/2023,Indiana,2022,32,2022-08-13,1339,1181,279,39,86,257,56,69,2022,32,7.0,3306,8.439201451905626,7.773744706594071,0.3572292800967937,8,3,Summer
27/09/2023,Indiana,2022,33,2022-08-20,1365,1234,280,39,86,267,62,80,2022,33,7.0,3413,8.203926164664518,7.823029592733666,0.36155874597128623,8,3,Summer
27/09/2023,Indiana,2022,34,2022-08-27,1414,1265,248,48,85,304,69,75,2022,34,7.0,3508,7.069555302166476,8.665906499429875,0.36060433295324973,8,3,Summer
27/09/2023,Indiana,2022,35,2022-09-03,1393,1251,300,40,88,285,67,74,2022,35,7.0,3498,8.576329331046312,8.147512864493997,0.35763293310463123,9,4,Autumn
27/09/2023,Indiana,2022,36,2022-09-10,1320,1192,268,26,87,303,61,69,2022,36,7.0,3326,8.057726999398678,9.110042092603727,0.35838845460012025,9,4,Autumn
27/09/2023,Indiana,2022,37,2022-09-17,1368,1251,281,37,84,290,65,54,2022,37,7.0,3430,8.192419825072886,8.454810495626822,0.36472303206997086,9,4,Autumn
27/09/2023,Indiana,2022,38,2022-09-24,1345,1196,271,38,75,272,65,62,2022,38,7.0,3324,8.152827918170878,8.182912154031289,0.35980746089049337,9,4,Autumn
27/09/2023,Indiana,2022,39,2022-10-01,1375,1252,282,40,84,293,73,47,2022,39,7.0,3446,8.183401044689495,8.502611723737667,0.363319791062101,10,4,Autumn
27/09/2023,Indiana,2022,40,2022-10-08,1458,1299,288,43,84,311,75,40,2022,40,7.0,3598,8.004446914952752,8.643690939410783,0.3610339077265147,10,4,Autumn
27/09/2023,Indiana,2022,41,2022-10-15,1376,1249,269,46,77,312,66,40,2022,41,7.0,3435,7.831149927219797,9.08296943231441,0.3636098981077147,10,4,Autumn
27/09/2023,Indiana,2022,42,2022-10-22,1454,1341,264,49,99,301,76,53,2022,42,7.0,3637,7.258729722298598,8.276051690954082,0.3687104756667583,10,4,Autumn
27/09/2023,Indiana,2022,43,2022-10-29,1432,1308,289,44,91,294,71,56,2022,43,7.0,3585,8.06136680613668,8.200836820083682,0.36485355648535567,10,4,Autumn
27/09/2023,Indiana,2022,44,2022-11-05,1394,1274,262,42,107,302,63,62,2022,44,7.0,3506,7.472903593839134,8.613804905875641,0.36337706788362806,11,4,Autumn
27/09/2023,Indiana,2022,45,2022-11-12,1364,1248,262,35,83,302,66,55,2022,45,7.0,3415,7.67203513909224,8.843338213762811,0.36544655929721814,11,4,Autumn
27/09/2023,Indiana,2022,46,2022-11-19,1406,1286,305,47,108,281,64,47,2022,46,7.0,3544,8.60609480812641,7.928893905191874,0.3628668171557562,11,4,Autumn
27/09/2023,Indiana,2022,47,2022-11-26,1496,1383,281,41,92,328,78,52,2022,47,7.0,3751,7.491335643828312,8.744334844041589,0.3687016795521194,11,4,Autumn
27/09/2023,Indiana,2022,48,2022-12-03,1488,1350,235,51,98,337,78,63,2022,48,7.0,3700,6.351351351351352,9.108108108108109,0.36486486486486486,12,1,Winter
27/09/2023,Indiana,2022,49,2022-12-10,1584,1456,296,49,93,329,58,75,2022,49,7.0,3940,7.5126903553299496,8.350253807106599,0.3695431472081218,12,1,Winter
27/09/2023,Indiana,2022,50,2022-12-17,1634,1502,290,61,114,357,74,81,2022,50,7.0,4113,7.050814490639436,8.679795769511307,0.3651835643082908,12,1,Winter
27/09/2023,Indiana,2022,51,2022-12-24,1624,1496,296,45,105,339,67,99,2022,51,7.0,4071,7.270940800786048,8.327192336035372,0.36747727830999755,12,1,Winter
27/09/2023,Indiana,2022,52,2022-12-31,1627,1533,271,62,103,372,82,107,2022,52,7.0,4157,6.519124368535001,8.948761125811885,0.3687755592975704,12,1,Winter
27/09/2023,Indiana,2023,1,2023-01-07,1531,1413,273,52,104,320,63,88,2023,1,7.0,3844,7.101977107180021,8.324661810613945,0.36758584807492195,1,1,Winter
27/09/2023,Indiana,2023,2,2023-01-14,1521,1377,273,39,100,328,97,65,2023,2,7.0,3800,7.18421052631579,8.631578947368421,0.36236842105263156,1,1,Winter
27/09/2023,Indiana,2023,3,2023-01-21,1400,1307,264,45,100,318,73,60,2023,3,7.0,3567,7.401177460050462,8.915054667788057,0.3664143537987104,1,1,Winter
27/09/2023,Indiana,2023,4,2023-01-28,1353,1213,261,45,76,277,66,45,2023,4,7.0,3336,7.823741007194244,8.30335731414868,0.36360911270983215,1,1,Winter
27/09/2023,Indiana,2023,5,2023-02-04,1376,1238,250,36,84,311,65,47,2023,5,7.0,3407,7.33783387144115,9.128265336072792,0.36336953331376576,2,1,Winter
27/09/2023,Indiana,2023,6,2023-02-11,1363,1239,252,57,83,300,64,43,2023,6,7.0,3401,7.409585416054101,8.820935019112026,0.36430461628932664,2,1,Winter
27/09/2023,Indiana,2023,7,2023-02-18,1393,1276,257,42,102,283,69,38,2023,7,7.0,3460,7.427745664739885,8.179190751445088,0.36878612716763004,2,1,Winter
27/09/2023,Indiana,2023,8,2023-02-25,1392,1266,264,40,75,322,68,41,2023,8,7.0,3468,7.612456747404845,9.284890426758938,0.36505190311418684,2,1,Winter
27/09/2023,Indiana,2023,9,2023-03-04,1355,1239,246,38,100,311,49,36,2023,9,7.0,3374,7.2910491997628935,9.217545939537642,0.36721991701244816,3,2,Spring
27/09/2023,Indiana,2023,10,2023-03-11,1333,1224,274,51,76,280,76,39,2023,10,7.0,3353,8.171786459886668,8.350730688935283,0.3650462272591709,3,2,Spring
27/09/2023,Indiana,2023,11,2023-03-18,1434,1320,268,49,103,303,69,50,2023,11,7.0,3596,7.452725250278086,8.42602892102336,0.3670745272525028,3,2,Spring
27/09/2023,Indiana,2023,12,2023-03-25,1374,1270,267,38,75,304,71,37,2023,12,7.0,3436,7.770663562281722,8.847497089639116,0.36961583236321305,3,2,Spring
27/09/2023,Indiana,2023,13,2023-04-01,1285,1159,227,43,96,293,55,32,2023,13,7.0,3190,7.115987460815047,9.184952978056426,0.3633228840125392,4,2,Spring
27/09/2023,Indiana,2023,14,2023-04-08,1330,1223,264,32,91,287,77,24,2023,14,7.0,3328,7.9326923076923075,8.623798076923077,0.3674879807692308,4,2,Spring
27/09/2023,Indiana,2023,15,2023-04-15,1368,1230,247,47,106,307,66,28,2023,15,7.0,3399,7.266843189173286,9.032068255369225,0.36187113857016767,4,2,Spring
27/09/2023,Indiana,2023,16,2023-04-22,1377,1254,270,44,92,303,74,34,2023,16,7.0,3448,7.830626450116009,8.787703016241299,0.3636890951276102,4,2,Spring
27/09/2023,Indiana,2023,17,2023-04-29,1349,1232,281,50,86,301,69,16,2023,17,7.0,3384,8.303782505910165,8.894799054373523,0.3640661938534279,4,2,Spring
27/09/2023,Indiana,2023,18,2023-05-06,1354,1253,287,49,88,302,68,17,2023,18,7.0,3418,8.39672322995904,8.835576360444705,0.3665886483323581,5,2,Spring
27/09/2023,Indiana,2023,19,2023-05-13,1333,1202,234,35,96,310,74,18,2023,19,7.0,3302,7.086614173228346,9.388249545729861,0.36402180496668685,5,2,Spring
27/09/2023,Indiana,2023,20,2023-05-20,1294,1176,274,35,82,292,63,16,2023,20,7.0,3232,8.477722772277229,9.034653465346535,0.36386138613861385,5,2,Spring
27/09/2023,Indiana,2023,21,2023-05-27,1267,1136,257,29,88,272,61,10,2023,21,7.0,3120,8.237179487179487,8.717948717948717,0.3641025641025641,5,2,Spring
27/09/2023,Indiana,2023,22,2023-06-03,1301,1188,271,29,69,321,63,16,2023,22,7.0,3258,8.317986494782074,9.85267034990792,0.36464088397790057,6,3,Summer
27/09/2023,Indiana,2023,23,2023-06-10,1314,1185,281,35,73,270,59,16,2023,23,7.0,3233,8.691617692545623,8.351376430559851,0.36653263223012683,6,3,Summer
27/09/2023,Indiana,2023,24,2023-06-17,1294,1196,279,35,94,282,66,18,2023,24,7.0,3264,8.54779411764706,8.63970588235294,0.36642156862745096,6,3,Summer
27/09/2023,Indiana,2023,25,2023-06-24,1283,1162,251,30,84,296,54,12,2023,25,7.0,3172,7.912988650693569,9.331651954602775,0.36633039092055486,6,3,Summer
27/09/2023,Indiana,2023,26,2023-07-01,1222,1123,272,56,87,267,49,11,2023,26,7.0,3087,8.811143505021056,8.649173955296405,0.36378360868156784,7,3,Summer
27/09/2023,Indiana,2023,27,2023-07-08,1252,1129,263,49,64,274,68,10,2023,27,7.0,3109,8.459311675779993,8.813123190736572,0.3631392730781602,7,3,Summer
27/09/2023,Indiana,2023,28,2023-07-15,1188,1070,287,39,71,224,60,262,2023,28,7.0,3201,8.965948141205873,6.997813183380194,0.3342705404561075,7,3,Summer
27/09/2023,Indiana,2023,29,2023-07-22,1209,1114,262,37,68,263,58,10,2023,29,7.0,3021,8.672624958622972,8.70572658060245,0.36875206885137374,7,3,Summer
27/09/2023,Indiana,2023,30,2023-07-29,1256,1157,278,40,78,275,68,12,2023,30,7.0,3164,8.786346396965866,8.691529709228824,0.3656763590391909,7,3,Summer
27/09/2023,Indiana,2023,31,2023-08-05,1215,1110,255,31,65,258,66,10,2023,31,7.0,3010,8.471760797342192,8.571428571428571,0.3687707641196013,8,3,Summer
27/09/2023,Indiana,2023,32,2023-08-12,1172,1105,295,25,68,248,60,11,2023,32,7.0,2984,9.886058981233244,8.310991957104557,0.3703083109919571,8,3,Summer
27/09/2023,Indiana,2023,33,2023-08-19,1192,1115,255,50,83,238,66,15,2023,33,7.0,3014,8.460517584605176,7.89648307896483,0.36994027869940277,8,3,Summer
27/09/2023,Indiana,2023,34,2023-08-26,1187,1152,290,51,89,253,58,16,2023,34,7.0,3096,9.366925064599483,8.171834625322997,0.37209302325581395,8,3,Summer
27/09/2023,Indiana,2023,35,2023-09-02,1058,1031,227,48,72,230,56,20,2023,35,7.0,2742,8.278628738147338,8.38803792851933,0.3760029175784099,9,4,Autumn
27/09/2023,Indiana,2023,36,2023-09-09,954,953,243,37,73,213,46,29,2023,36,7.0,2548,9.536891679748823,8.359497645211931,0.37401883830455257,9,4,Autumn
27/09/2023,Indiana,2023,37,2023-09-16,728,728,160,36,60,163,37,24,2023,37,7.0,1936,8.264462809917356,8.419421487603305,0.3760330578512397,9,4,Autumn
27/09/2023,Iowa,2020,1,2020-01-04,665,618,115,28,62,168,24,0,2020,1,-1351.0,1680,6.845238095238096,10.0,0.3678571428571429,1,1,Winter
27/09/2023,Iowa,2020,2,2020-01-11,647,611,147,38,33,151,26,0,2020,2,7.0,1653,8.892921960072595,9.134906231094979,0.36963097398669087,1,1,Winter
27/09/2023,Iowa,2020,3,2020-01-18,620,585,116,23,52,161,20,0,2020,3,7.0,1577,7.3557387444514895,10.209258084971465,0.3709575142675967,1,1,Winter
27/09/2023,Iowa,2020,4,2020-01-25,640,597,108,31,49,174,30,0,2020,4,7.0,1629,6.629834254143646,10.681399631675875,0.3664825046040516,1,1,Winter
27/09/2023,Iowa,2020,5,2020-02-01,615,572,118,28,50,142,27,0,2020,5,7.0,1552,7.603092783505154,9.149484536082474,0.36855670103092786,2,1,Winter
27/09/2023,Iowa,2020,6,2020-02-08,637,593,120,31,40,163,34,0,2020,6,7.0,1618,7.416563658838071,10.074165636588381,0.3665018541409147,2,1,Winter
27/09/2023,Iowa,2020,7,2020-02-15,600,543,125,25,26,141,31,0,2020,7,7.0,1491,8.383635144198525,9.456740442655935,0.3641851106639839,2,1,Winter
27/09/2023,Iowa,2020,8,2020-02-22,643,587,113,24,35,157,24,0,2020,8,7.0,1583,7.138344914718889,9.917877447883765,0.3708149084017688,2,1,Winter
27/09/2023,Iowa,2020,9,2020-02-29,642,600,122,20,28,169,35,0,2020,9,7.0,1616,7.5495049504950495,10.457920792079207,0.3712871287128713,2,1,Winter
27/09/2023,Iowa,2020,10,2020-03-07,624,573,114,27,50,140,23,0,2020,10,7.0,1551,7.35009671179884,9.026434558349452,0.3694390715667311,3,2,Spring
27/09/2023,Iowa,2020,11,2020-03-14,636,585,136,27,40,156,22,0,2020,11,7.0,1602,8.489388264669163,9.737827715355806,0.3651685393258427,3,2,Spring
27/09/2023,Iowa,2020,12,2020-03-21,598,561,104,21,35,140,22,0,2020,12,7.0,1481,7.022282241728561,9.453072248480757,0.3787981093855503,3,2,Spring
27/09/2023,Iowa,2020,13,2020-03-28,595,564,110,38,44,135,28,262,2020,13,7.0,1776,6.193693693693693,7.601351351351352,0.31756756756756754,3,2,Spring
27/09/2023,Iowa,2020,14,2020-04-04,608,567,123,39,39,123,19,17,2020,14,7.0,1535,8.013029315960912,8.013029315960912,0.36938110749185665,4,2,Spring
27/09/2023,Iowa,2020,15,2020-04-11,597,565,136,28,30,130,37,22,2020,15,7.0,1545,8.802588996763754,8.414239482200648,0.3656957928802589,4,2,Spring
27/09/2023,Iowa,2020,16,2020-04-18,633,595,144,39,15,146,26,36,2020,16,7.0,1634,8.812729498164016,8.935128518971847,0.36413708690330476,4,2,Spring
27/09/2023,Iowa,2020,17,2020-04-25,587,544,116,16,25,112,24,52,2020,17,7.0,1476,7.8590785907859075,7.588075880758807,0.3685636856368564,4,2,Spring
27/09/2023,Iowa,2020,18,2020-05-02,673,629,110,26,39,147,27,69,2020,18,7.0,1720,6.395348837209303,8.546511627906977,0.3656976744186046,5,2,Spring
27/09/2023,Iowa,2020,19,2020-05-09,702,661,142,26,37,147,24,92,2020,19,7.0,1831,7.755324959038777,8.028399781540143,0.361004915346805,5,2,Spring
27/09/2023,Iowa,2020,20,2020-05-16,674,647,129,32,35,151,26,103,2020,20,7.0,1797,7.178631051752922,8.402893711741791,0.3600445186421814,5,2,Spring
27/09/2023,Iowa,2020,21,2020-05-23,619,582,115,26,23,118,34,101,2020,21,7.0,1618,7.107540173053152,7.292954264524104,0.35970333745364647,5,2,Spring
27/09/2023,Iowa,2020,22,2020-05-30,632,584,117,31,26,131,17,91,2020,22,7.0,1629,7.18232044198895,8.041743400859422,0.35850214855739715,5,2,Spring
27/09/2023,Iowa,2020,23,2020-06-06,600,561,96,26,23,135,27,70,2020,23,7.0,1538,6.241872561768531,8.777633289986996,0.3647594278283485,6,3,Summer
27/09/2023,Iowa,2020,24,2020-06-13,589,545,126,28,29,125,23,40,2020,24,7.0,1505,8.372093023255815,8.305647840531561,0.36212624584717606,6,3,Summer
27/09/2023,Iowa,2020,25,2020-06-20,575,516,112,23,20,133,24,32,2020,25,7.0,1435,7.804878048780488,9.268292682926829,0.35958188153310106,6,3,Summer
27/09/2023,Iowa,2020,26,2020-06-27,552,522,115,25,33,123,24,20,2020,26,7.0,1414,8.132956152758133,8.698727015558699,0.36916548797736914,6,3,Summer
27/09/2023,Iowa,2020,27,2020-07-04,596,545,127,21,25,137,26,21,2020,27,7.0,1498,8.477970627503337,9.145527369826436,0.3638184245660881,7,3,Summer
27/09/2023,Iowa,2020,28,2020-07-11,567,514,119,23,24,129,26,26,2020,28,7.0,1428,8.333333333333332,9.033613445378151,0.3599439775910364,7,3,Summer
27/09/2023,Iowa,2020,29,2020-07-18,601,552,130,25,22,126,32,42,2020,29,7.0,1530,8.49673202614379,8.235294117647058,0.3607843137254902,7,3,Summer
27/09/2023,Iowa,2020,30,2020-07-25,651,600,111,26,26,150,22,47,2020,30,7.0,1633,6.79730557256583,9.185548071034905,0.3674219228413962,7,3,Summer
27/09/2023,Iowa,2020,31,2020-08-01,650,589,116,26,29,147,19,51,2020,31,7.0,1627,7.129686539643516,9.035033804548249,0.3620159803318992,8,3,Summer
27/09/2023,Iowa,2020,32,2020-08-08,649,595,112,34,26,142,32,53,2020,32,7.0,1643,6.816798539257456,8.642726719415702,0.36214242239805233,8,3,Summer
27/09/2023,Iowa,2020,33,2020-08-15,669,610,117,20,22,146,34,57,2020,33,7.0,1675,6.985074626865671,8.716417910447761,0.3641791044776119,8,3,Summer
27/09/2023,Iowa,2020,34,2020-08-22,625,570,109,31,26,133,22,63,2020,34,7.0,1579,6.903103229892336,8.423052564914503,0.3609879670677644,8,3,Summer
27/09/2023,Iowa,2020,35,2020-08-29,691,628,121,20,29,152,29,77,2020,35,7.0,1747,6.926159129937035,8.700629650829994,0.3594733829421866,8,3,Summer
27/09/2023,Iowa,2020,36,2020-09-05,597,551,97,26,31,127,20,59,2020,36,7.0,1508,6.43236074270557,8.421750663129973,0.36538461538461536,9,4,Autumn
27/09/2023,Iowa,2020,37,2020-09-12,637,584,117,24,34,130,32,61,2020,37,7.0,1619,7.226683137739346,8.029647930821495,0.3607164916615195,9,4,Autumn
27/09/2023,Iowa,2020,38,2020-09-19,642,587,93,28,32,145,24,48,2020,38,7.0,1599,5.816135084427768,9.06816760475297,0.367104440275172,9,4,Autumn
27/09/2023,Iowa,2020,39,2020-09-26,641,589,126,29,26,134,20,57,2020,39,7.0,1622,7.768187422934648,8.261405672009865,0.3631319358816276,9,4,Autumn
27/09/2023,Iowa,2020,40,2020-10-03,680,626,119,33,30,148,20,83,2020,40,7.0,1739,6.84301322599195,8.51063829787234,0.3599769982748706,10,4,Autumn
27/09/2023,Iowa,2020,41,2020-10-10,733,679,125,20,36,151,24,100,2020,41,7.0,1868,6.691648822269808,8.083511777301927,0.36349036402569596,10,4,Autumn
27/09/2023,Iowa,2020,42,2020-10-17,688,638,118,20,33,137,23,115,2020,42,7.0,1772,6.659142212189615,7.7313769751693,0.3600451467268623,10,4,Autumn
27/09/2023,Iowa,2020,43,2020-10-24,750,718,131,27,31,158,23,130,2020,43,7.0,1968,6.65650406504065,8.028455284552846,0.3648373983739837,10,4,Autumn
